	0	1	2	3	4
0	0.5	0.2	0.1	0.1	0.1
1	0.5	0.2	0.08	0.12	0.1
2	0.5	0.2	0.08	0.1	0.12
3	0.5	0.2	0.06	0.14	0.1
4	0.5	0.2	0.06	0.12	0.12
5	0.5	0.2	0.06	0.1	0.14
6	0.5	0.2	0.04	0.16	0.1
7	0.5	0.2	0.04	0.14	0.12
8	0.5	0.2	0.04	0.12	0.14
9	0.5	0.2	0.04	0.1	0.16
10	0.5	0.2	0.02	0.18	0.1
11	0.5	0.2	0.02	0.16	0.12
12	0.5	0.2	0.02	0.14	0.14
13	0.5	0.2	0.02	0.12	0.16
14	0.5	0.2	0.02	0.1	0.18
15	0.5	0.2	0.0	0.2	0.1
16	0.5	0.2	0.0	0.18	0.12
17	0.5	0.2	0.0	0.16	0.14
18	0.5	0.2	0.0	0.14	0.16
19	0.5	0.2	0.0	0.12	0.18
20	0.5	0.2	0.0	0.1	0.2
21	0.5	0.18	0.12	0.1	0.1
22	0.5	0.18	0.1	0.12	0.1
23	0.5	0.18	0.1	0.1	0.12
24	0.5	0.18	0.08	0.14	0.1
25	0.5	0.18	0.08	0.12	0.12
26	0.5	0.18	0.08	0.1	0.14
27	0.5	0.18	0.06	0.16	0.1
28	0.5	0.18	0.06	0.14	0.12
29	0.5	0.18	0.06	0.12	0.14
30	0.5	0.18	0.06	0.1	0.16
31	0.5	0.18	0.04	0.18	0.1
32	0.5	0.18	0.04	0.16	0.12
33	0.5	0.18	0.04	0.14	0.14
34	0.5	0.18	0.04	0.12	0.16
35	0.5	0.18	0.04	0.1	0.18
36	0.5	0.18	0.02	0.2	0.1
37	0.5	0.18	0.02	0.18	0.12
38	0.5	0.18	0.02	0.16	0.14
39	0.5	0.18	0.02	0.14	0.16
40	0.5	0.18	0.02	0.12	0.18
41	0.5	0.18	0.02	0.1	0.2
42	0.5	0.18	0.0	0.22	0.1
43	0.5	0.18	0.0	0.2	0.12
44	0.5	0.18	0.0	0.18	0.14
45	0.5	0.18	0.0	0.16	0.16
46	0.5	0.18	0.0	0.14	0.18
47	0.5	0.18	0.0	0.12	0.2
48	0.5	0.16	0.14	0.1	0.1
49	0.5	0.16	0.12	0.12	0.1
50	0.5	0.16	0.12	0.1	0.12
51	0.5	0.16	0.1	0.14	0.1
52	0.5	0.16	0.1	0.12	0.12
53	0.5	0.16	0.1	0.1	0.14
54	0.5	0.16	0.08	0.16	0.1
55	0.5	0.16	0.08	0.14	0.12
56	0.5	0.16	0.08	0.12	0.14
57	0.5	0.16	0.08	0.1	0.16
58	0.5	0.16	0.06	0.18	0.1
59	0.5	0.16	0.06	0.16	0.12
60	0.5	0.16	0.06	0.14	0.14
61	0.5	0.16	0.06	0.12	0.16
62	0.5	0.16	0.06	0.1	0.18
63	0.5	0.16	0.04	0.2	0.1
64	0.5	0.16	0.04	0.18	0.12
65	0.5	0.16	0.04	0.16	0.14
66	0.5	0.16	0.04	0.14	0.16
67	0.5	0.16	0.04	0.12	0.18
68	0.5	0.16	0.04	0.1	0.2
69	0.5	0.16	0.02	0.22	0.1
70	0.5	0.16	0.02	0.2	0.12
71	0.5	0.16	0.02	0.18	0.14
72	0.5	0.16	0.02	0.16	0.16
73	0.5	0.16	0.02	0.14	0.18
74	0.5	0.16	0.02	0.12	0.2
75	0.5	0.16	0.0	0.24	0.1
76	0.5	0.16	0.0	0.22	0.12
77	0.5	0.16	0.0	0.2	0.14
78	0.5	0.16	0.0	0.18	0.16
79	0.5	0.16	0.0	0.16	0.18
80	0.5	0.16	0.0	0.14	0.2
81	0.5	0.14	0.16	0.1	0.1
82	0.5	0.14	0.14	0.12	0.1
83	0.5	0.14	0.14	0.1	0.12
84	0.5	0.14	0.12	0.14	0.1
85	0.5	0.14	0.12	0.12	0.12
86	0.5	0.14	0.12	0.1	0.14
87	0.5	0.14	0.1	0.16	0.1
88	0.5	0.14	0.1	0.14	0.12
89	0.5	0.14	0.1	0.12	0.14
90	0.5	0.14	0.1	0.1	0.16
91	0.5	0.14	0.08	0.18	0.1
92	0.5	0.14	0.08	0.16	0.12
93	0.5	0.14	0.08	0.14	0.14
94	0.5	0.14	0.08	0.12	0.16
95	0.5	0.14	0.08	0.1	0.18
96	0.5	0.14	0.06	0.2	0.1
97	0.5	0.14	0.06	0.18	0.12
98	0.5	0.14	0.06	0.16	0.14
99	0.5	0.14	0.06	0.14	0.16
100	0.5	0.14	0.06	0.12	0.18
101	0.5	0.14	0.06	0.1	0.2
102	0.5	0.14	0.04	0.22	0.1
103	0.5	0.14	0.04	0.2	0.12
104	0.5	0.14	0.04	0.18	0.14
105	0.5	0.14	0.04	0.16	0.16
106	0.5	0.14	0.04	0.14	0.18
107	0.5	0.14	0.04	0.12	0.2
108	0.5	0.14	0.02	0.24	0.1
109	0.5	0.14	0.02	0.22	0.12
110	0.5	0.14	0.02	0.2	0.14
111	0.5	0.14	0.02	0.18	0.16
112	0.5	0.14	0.02	0.16	0.18
113	0.5	0.14	0.02	0.14	0.2
114	0.5	0.14	0.0	0.26	0.1
115	0.5	0.14	0.0	0.24	0.12
116	0.5	0.14	0.0	0.22	0.14
117	0.5	0.14	0.0	0.2	0.16
118	0.5	0.14	0.0	0.18	0.18
119	0.5	0.14	0.0	0.16	0.2
120	0.5	0.12	0.18	0.1	0.1
121	0.5	0.12	0.16	0.12	0.1
122	0.5	0.12	0.16	0.1	0.12
123	0.5	0.12	0.14	0.14	0.1
124	0.5	0.12	0.14	0.12	0.12
125	0.5	0.12	0.14	0.1	0.14
126	0.5	0.12	0.12	0.16	0.1
127	0.5	0.12	0.12	0.14	0.12
128	0.5	0.12	0.12	0.12	0.14
129	0.5	0.12	0.12	0.1	0.16
130	0.5	0.12	0.1	0.18	0.1
131	0.5	0.12	0.1	0.16	0.12
132	0.5	0.12	0.1	0.14	0.14
133	0.5	0.12	0.1	0.12	0.16
134	0.5	0.12	0.1	0.1	0.18
135	0.5	0.12	0.08	0.2	0.1
136	0.5	0.12	0.08	0.18	0.12
137	0.5	0.12	0.08	0.16	0.14
138	0.5	0.12	0.08	0.14	0.16
139	0.5	0.12	0.08	0.12	0.18
140	0.5	0.12	0.08	0.1	0.2
141	0.5	0.12	0.06	0.22	0.1
142	0.5	0.12	0.06	0.2	0.12
143	0.5	0.12	0.06	0.18	0.14
144	0.5	0.12	0.06	0.16	0.16
145	0.5	0.12	0.06	0.14	0.18
146	0.5	0.12	0.06	0.12	0.2
147	0.5	0.12	0.04	0.24	0.1
148	0.5	0.12	0.04	0.22	0.12
149	0.5	0.12	0.04	0.2	0.14
150	0.5	0.12	0.04	0.18	0.16
151	0.5	0.12	0.04	0.16	0.18
152	0.5	0.12	0.04	0.14	0.2
153	0.5	0.12	0.02	0.26	0.1
154	0.5	0.12	0.02	0.24	0.12
155	0.5	0.12	0.02	0.22	0.14
156	0.5	0.12	0.02	0.2	0.16
157	0.5	0.12	0.02	0.18	0.18
158	0.5	0.12	0.02	0.16	0.2
159	0.5	0.12	0.0	0.28	0.1
160	0.5	0.12	0.0	0.26	0.12
161	0.5	0.12	0.0	0.24	0.14
162	0.5	0.12	0.0	0.22	0.16
163	0.5	0.12	0.0	0.2	0.18
164	0.5	0.12	0.0	0.18	0.2
165	0.5	0.1	0.2	0.1	0.1
166	0.5	0.1	0.18	0.12	0.1
167	0.5	0.1	0.18	0.1	0.12
168	0.5	0.1	0.16	0.14	0.1
169	0.5	0.1	0.16	0.12	0.12
170	0.5	0.1	0.16	0.1	0.14
171	0.5	0.1	0.14	0.16	0.1
172	0.5	0.1	0.14	0.14	0.12
173	0.5	0.1	0.14	0.12	0.14
174	0.5	0.1	0.14	0.1	0.16
175	0.5	0.1	0.12	0.18	0.1
176	0.5	0.1	0.12	0.16	0.12
177	0.5	0.1	0.12	0.14	0.14
178	0.5	0.1	0.12	0.12	0.16
179	0.5	0.1	0.12	0.1	0.18
180	0.5	0.1	0.1	0.2	0.1
181	0.5	0.1	0.1	0.18	0.12
182	0.5	0.1	0.1	0.16	0.14
183	0.5	0.1	0.1	0.14	0.16
184	0.5	0.1	0.1	0.12	0.18
185	0.5	0.1	0.1	0.1	0.2
186	0.5	0.1	0.08	0.22	0.1
187	0.5	0.1	0.08	0.2	0.12
188	0.5	0.1	0.08	0.18	0.14
189	0.5	0.1	0.08	0.16	0.16
190	0.5	0.1	0.08	0.14	0.18
191	0.5	0.1	0.08	0.12	0.2
192	0.5	0.1	0.06	0.24	0.1
193	0.5	0.1	0.06	0.22	0.12
194	0.5	0.1	0.06	0.2	0.14
195	0.5	0.1	0.06	0.18	0.16
196	0.5	0.1	0.06	0.16	0.18
197	0.5	0.1	0.06	0.14	0.2
198	0.5	0.1	0.04	0.26	0.1
199	0.5	0.1	0.04	0.24	0.12
200	0.5	0.1	0.04	0.22	0.14
201	0.5	0.1	0.04	0.2	0.16
202	0.5	0.1	0.04	0.18	0.18
203	0.5	0.1	0.04	0.16	0.2
204	0.5	0.1	0.02	0.28	0.1
205	0.5	0.1	0.02	0.26	0.12
206	0.5	0.1	0.02	0.24	0.14
207	0.5	0.1	0.02	0.22	0.16
208	0.5	0.1	0.02	0.2	0.18
209	0.5	0.1	0.02	0.18	0.2
210	0.5	0.1	0.0	0.3	0.1
211	0.5	0.1	0.0	0.28	0.12
212	0.5	0.1	0.0	0.26	0.14
213	0.5	0.1	0.0	0.24	0.16
214	0.5	0.1	0.0	0.22	0.18
215	0.5	0.1	0.0	0.2	0.2
216	0.5	0.08	0.2	0.12	0.1
217	0.5	0.08	0.2	0.1	0.12
218	0.5	0.08	0.18	0.14	0.1
219	0.5	0.08	0.18	0.12	0.12
220	0.5	0.08	0.18	0.1	0.14
221	0.5	0.08	0.16	0.16	0.1
222	0.5	0.08	0.16	0.14	0.12
223	0.5	0.08	0.16	0.12	0.14
224	0.5	0.08	0.16	0.1	0.16
225	0.5	0.08	0.14	0.18	0.1
226	0.5	0.08	0.14	0.16	0.12
227	0.5	0.08	0.14	0.14	0.14
228	0.5	0.08	0.14	0.12	0.16
229	0.5	0.08	0.14	0.1	0.18
230	0.5	0.08	0.12	0.2	0.1
231	0.5	0.08	0.12	0.18	0.12
232	0.5	0.08	0.12	0.16	0.14
233	0.5	0.08	0.12	0.14	0.16
234	0.5	0.08	0.12	0.12	0.18
235	0.5	0.08	0.12	0.1	0.2
236	0.5	0.08	0.1	0.22	0.1
237	0.5	0.08	0.1	0.2	0.12
238	0.5	0.08	0.1	0.18	0.14
239	0.5	0.08	0.1	0.16	0.16
240	0.5	0.08	0.1	0.14	0.18
241	0.5	0.08	0.1	0.12	0.2
242	0.5	0.08	0.08	0.24	0.1
243	0.5	0.08	0.08	0.22	0.12
244	0.5	0.08	0.08	0.2	0.14
245	0.5	0.08	0.08	0.18	0.16
246	0.5	0.08	0.08	0.16	0.18
247	0.5	0.08	0.08	0.14	0.2
248	0.5	0.08	0.06	0.26	0.1
249	0.5	0.08	0.06	0.24	0.12
250	0.5	0.08	0.06	0.22	0.14
251	0.5	0.08	0.06	0.2	0.16
252	0.5	0.08	0.06	0.18	0.18
253	0.5	0.08	0.06	0.16	0.2
254	0.5	0.08	0.04	0.28	0.1
255	0.5	0.08	0.04	0.26	0.12
256	0.5	0.08	0.04	0.24	0.14
257	0.5	0.08	0.04	0.22	0.16
258	0.5	0.08	0.04	0.2	0.18
259	0.5	0.08	0.04	0.18	0.2
260	0.5	0.08	0.02	0.3	0.1
261	0.5	0.08	0.02	0.28	0.12
262	0.5	0.08	0.02	0.26	0.14
263	0.5	0.08	0.02	0.24	0.16
264	0.5	0.08	0.02	0.22	0.18
265	0.5	0.08	0.02	0.2	0.2
266	0.5	0.08	0.0	0.32	0.1
267	0.5	0.08	0.0	0.3	0.12
268	0.5	0.08	0.0	0.28	0.14
269	0.5	0.08	0.0	0.26	0.16
270	0.5	0.08	0.0	0.24	0.18
271	0.5	0.08	0.0	0.22	0.2
272	0.5	0.06	0.2	0.14	0.1
273	0.5	0.06	0.2	0.12	0.12
274	0.5	0.06	0.2	0.1	0.14
275	0.5	0.06	0.18	0.16	0.1
276	0.5	0.06	0.18	0.14	0.12
277	0.5	0.06	0.18	0.12	0.14
278	0.5	0.06	0.18	0.1	0.16
279	0.5	0.06	0.16	0.18	0.1
280	0.5	0.06	0.16	0.16	0.12
281	0.5	0.06	0.16	0.14	0.14
282	0.5	0.06	0.16	0.12	0.16
283	0.5	0.06	0.16	0.1	0.18
284	0.5	0.06	0.14	0.2	0.1
285	0.5	0.06	0.14	0.18	0.12
286	0.5	0.06	0.14	0.16	0.14
287	0.5	0.06	0.14	0.14	0.16
288	0.5	0.06	0.14	0.12	0.18
289	0.5	0.06	0.14	0.1	0.2
290	0.5	0.06	0.12	0.22	0.1
291	0.5	0.06	0.12	0.2	0.12
292	0.5	0.06	0.12	0.18	0.14
293	0.5	0.06	0.12	0.16	0.16
294	0.5	0.06	0.12	0.14	0.18
295	0.5	0.06	0.12	0.12	0.2
296	0.5	0.06	0.1	0.24	0.1
297	0.5	0.06	0.1	0.22	0.12
298	0.5	0.06	0.1	0.2	0.14
